Date of trade,buy/sell,amount(USD),ticker,opening price
11/10/2023,short,4000000,TPST,0.235
11/10/2023,long,2000000,XOM,106.96
12/10/2023,long,1000000,PXD,242.75
12/10/2023,short,2000000,BIRK,40.21
