Date of trade,buy/sell,amount(USD),ticker,opening price
1/11/2023,buy,"200,000",TMUBMUSD03Y,4.92
1/11/2023,buy,"200,000",TMUBMUSD05Y,4.854
1/11/2023,buy,"200,000",TMUBMUSD10Y,4.934
,,,,
